accommodation	alojamiento
(bed)_sheets	las_sábanas
a_complaint	la_reclamación
a_double_bed	la_cama_de_matrimonio
a_double_room	la_habitación_doble
a_double-bedded_room	la_habitación_con_cama_de_matrimonio
a_reservation_/_booking	la_reserva
a_room_with_en_suite_bathroom	la_habitación_con_baño
a_single_bed	la_cama_individual
a_single_room	la_habitación_individual
a_tip	la_propina
a_twin-bedded_room	la_habitación_con_camas_gemelas
air_conditioning	aire_acondicionado
bar	el_bar
bath	la_bañera
bathrobe	el_albornoz
bellboy	el_botones
bill	la_cuenta
blankets	las_mantas
car_park_attendant_/_parking_lot_attendant	el_/_la_guardacoches
comb	el_peine
chambermaid	la_camarera_de_pisos
dining_room	el_comedor
elevator_/_lift	el_ascensor
first_(second/third/fourth)_floor	primera_(segunda/tercera/cuarta)_planta
hair_dryer	el_secador_de_pelo
heating	calefacción
hot_water	agua_caliente
key	la_llave
key_card	la_tarjeta_llavero
laundry_service	el_servicio_de_lavandería
lounge	el_salón
luggage	el_equipaje
manager	el_director
mattress	el_colchón
pillow	la_almohada
razor	la_máquina_de_afeitar
receipt	la_factura
reception	la_recepción
receptionist	el_/_la_recepcionista
refund	la_reembolsa
restaurant	el_restaurante
room_service	el_servicio_a_las_habitaciones
shampoo	el_champú
shower	la_ducha
shower_cap	la_gorra_de_ducha
slippers	las_zapatillas
soap	el_jabón
soap_dispenser	la_jabonera
stairs	las_escaleras
tap_/_faucet	el_grifo
to_iron	planchar
to_pay_a_deposit_or_down_payment	dar_or_dejar_una_señal
to_wash	lavar
toilet	el_váter
toilet_paper	el_papel_higiénico
toothbrush	el_cepillo_de_dientes
toothpaste	la_pasta_dentrífica_/_pasta_de_dientes
towel	la_toalla
twin_beds	camas_gemelas
waiter_/_waitress	el_camarero_/_la_camarera
washbasin	el_lavabo
window	la_ventana
